name, ra, dec, nexp, exptime, filter, horizon, moond, moonw, priority, count, period, comment
V20_NAP6                   , 20:54:38.0   , +43:59:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP2                   , 20:55:19.3   , +43:29:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP15                  , 20:56:01.7   , +44:58:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP11                  , 20:56:41.9   , +44:28:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP7                   , 20:57:22.0   , +43:59:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1228                  ,   20:57:30   , +77:37:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  9, VYSOS
V20_NAP3                   , 20:58:02.0   , +43:29:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP16                  , 20:58:48.6   , +44:58:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP12                  , 20:59:27.3   , +44:28:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1003                  ,   21:00:00   , +52:30:00, 3, 100, PSr, 30, 30, 6 , 9, 1,  1, VYSOS
V20_NAP8                   , 21:00:06.0   , +43:59:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NAP4                   , 21:00:44.7   , +43:29:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC7023                ,   21:01:37   , +68:10:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  5, VYSOS
V20_L988                   ,   21:03:20   , +50:06:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1396A                ,   21:36:00   , +57:28:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_Trumpler37             ,   21:39:40   , +57:28:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1396N                ,   21:40:42   , +58:16:10, 3, 100, PSr, 30, 30, 6 , 1, 1,  2, VYSOS
V20_NGC7129                ,   21:43:00   , +66:06:30, 3, 100, PSr, 30, 30, 6 , 3, 1,  3, VYSOS
V20_NGC7128                ,   21:44:00   , +53:43:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  4, VYSOS
V20_IC5146                 ,   21:53:25   , +47:16:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  1, VYSOS
V20_NGC7160                ,   21:53:36   , +62:36:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  6, VYSOS
V20_NGC7235                ,   22:12:24   , +57:16:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  5, VYSOS
V20_S140                   ,   22:19:00   , +63:20:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  7, VYSOS
V20_LkHa233                ,   22:34:40   , +40:40:04, 3, 100, PSr, 30, 30, 6 , 2, 1,  5, VYSOS
V20_L1251                  ,   22:37:30   , +75:13:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  6, VYSOS
V20_NGC7380                ,   22:47:30   , +58:04:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  2, VYSOS
V20_NGC7419                ,   22:54:18   , +60:50:00, 3, 100, PSr, 30, 30, 6 , 2, 1, 10, VYSOS
V20_CepheusB               ,   22:57:00   , +62:37:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_NGC7538                ,   23:13:46   , +61:32:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  2, VYSOS
V20_King12                 ,   23:58:24   , +61:13:00, 3, 100, PSr, 30, 30, 6 , 1, 1, 11, VYSOS
V20_Markarian50            ,   23:15:15   , +60:26:30, 3, 100, PSr, 30, 30, 6 , 3, 1, 14, VYSOS
V20_King21                 ,   23:49:54   , +62:43:00, 3, 100, PSr, 30, 30, 6 , 2, 1, 12, VYSOS
V20_Berkeley86             ,   20:20:12   , +38:41:24, 3, 100, PSr, 30, 30, 6 , 1, 1, 14, VYSOS
V20_ScoOB4comglob          ,   17:18:55   , -32:10:00, 3, 100, PSr, 30, 30, 6 , 1, 1, 12, VYSOS
V20_Haffner15              ,   07:45:30   , -32:50:30, 3, 100, PSr, 30, 30, 6 , 2, 1, 14, VYSOS
V20_M101                   , 14:03:11.9   , +54:21:00, 7, 100, PSr, 30, 30, 6 , 1, 3,  1, Filler
V20_MarkariansChain        , 12:26:00.0   , +12:48:00, 7, 100, PSr, 30, 30, 6 , 1, 3,  1, Filler
V20_M51                    , 13:29:52.7   , +47:11:43, 3, 100, PSr, 30, 30, 6 , 9, 1,  1, VYSOS
